id,question,answer
9160,What is the date of birth of Apicata's husband?,"Lucius Aelius Sejanus, alternatively spelled Seianus (June 3, 20 BC – October 18, AD 31), commonly known as Sejanus , was an ambitious soldier, friend and confidant of the Roman Emperor Tiberius."
9161,Are Sabine Sun and Denis Jérome both from the same country?,"Denis Jerome( born February 28, 1939 in Paris) is a French experimental physicist in the field of condensed matter, who contributed to the discovery of superconductivity in organic conductive matter."
9162,"Which film whose director was born first, The Last Exploits Of The Olsen Gang or My Name Is Tanino?","The Last Exploits of the Olsen Gang is a 1974 Danish comedy film directed by Erik Balling and starring Ove Sprogøe, Morten Grunwald, Poul Bundgaard and Kirsten Walther."
9163,What is the award that the director of film Pugachev (1978 Film) received?,"Pugachev  is a 1978 biopic film, directed by Aleksei Saltykov and starring Yevgeny Matveyev and Vija Artmane."
9164,"Which film has the director born earlier, Trucker'S Woman or Jyoti Bane Jwala?",Trucker's Woman( also released as Truckin' Man) is a 1975 action film directed by Will Zens and starring Michael Hawkins as a middle- aged man who drops out of college to go undercover as a truck driver in order to solve the mysterious murder of his trucker father.
9165,Which country Benjamin Pierce Cheney Jr.'s wife is from?,"He was married at Covington, Kentucky, on February 23, 1898, to Julia Arthur (born Ida Lewis), a noted actress."
9166,Does Henry T. Ellett have the same nationality as Kim Polese?,"An advocate of public policy to increase America's innovation capacity, Polese was named to President Obama's Innovation Advisory Board in 2011."
9167,Where did the director of film Chalta Purza die?,"He died on 5 September 2001, while undergoing a heart bypass surgery at Nanavati Hospital, in Mumbai, at the age of 73."
9168,"Which film has the director who was born first, Cidade Ameaçada or The Jesus Rolls?","John Michael Turturro( born February 28, 1957) is an Italian American character actor, writer and filmmaker known for his roles in the films"" Do the Right Thing""( 1989),"" Miller's Crossing""( 1990),"" Barton Fink""( 1991),"" Quiz Show""( 1994),"" The Big Lebowski""( 1998),"" O Brother, Where Art Thou?""( 2000) and"" Transformers"" film series."
9169,Where was the place of death of the director of film Tom Thumb And Little Red Riding Hood?,Tom Thumb and Little Red Riding Hood  is a 1962 Mexican fantasy adventure film directed by Roberto Rodríguez.
9170,What is the place of birth of the director of film Red 2 (Film)?,"The film stars Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Lee Byung-hun, Anthony Hopkins, and Helen Mirren, with Dean Parisot directing a screenplay by Jon and Erich Hoeber."
9171,What is the award that the director of film Manila By Night won?,"Manila by Night, also known as City After Dark, is a 1980 Filipino film directed by Ishmael Bernal and starring Gina Alajar and Charito Solis."
9172,"Who is the paternal grandmother of Sancha Of Castile, Queen Of Navarre?","He was the son of Urraca of León and Raymond of Burgundy, the first of the House of Ivrea to rule in the Iberian peninsula."
9173,Where did the director of film Coma (2009 Film) study?,"He moved to Vienna, where he studied acting and singing at the University of Music and Performing Arts."
9174,"Which film has the director who is older than the other, Target Zero or A Midnight Clear? ","A Midnight Clear is a 1992 American war drama film written and directed by Keith Gordon and starring an ensemble cast that features Ethan Hawke, Gary Sinise, Peter Berg, Kevin Dillon and Arye Gross."
9175,What is the place of birth of Jamie Campbell (Documentary Filmmaker)'s wife?,On 10 September 2011 he married Amber Sainsbury on the island of Paxos in Greece.
9176,What is the place of birth of the founder of Oak Hill Capital Partners?,Bass has served on the Texas Highway & Public Transportation Commission.
9177,"Which film has the director who was born earlier, 16 Blocks or The Third Page?","Zeki Demirkubuz( born 1 October 1964 in Isparta, Turkey) is a contemporary Turkish film director, screenwriter, producer and film editor."
9178,"Which film has the director who is older, 100.000 Dollari Per Ringo or Water (1985 Film)?",Dick Clement( born 5 September 1937) is an English writer known for his writing partnership with Ian La Frenais.
9179,What is the place of birth of Minke Smeets's husband?,"During the closing ceremony of the 2008 Olympics in Beijing her boyfriend, Dutch' baseball teams catcher, Tjerk Smeets proposed, and Minke accepted."
9180,"Which film has the director born first, Bharat Ki Beti or It Happened In Brooklyn?","It Happened in Brooklyn is a 1947 Metro- Goldwyn- Mayer musical romantic comedy film directed by Richard Whorf and starring Frank Sinatra, Kathryn Grayson, Peter Lawford, and Jimmy Durante and featuring Gloria Grahame and Marcy McGuire."
9181,Where was the husband of Lady Catherine Gordon born?,"Lady Catherine Gordon (–October 1537) was a Scottish noblewoman and the wife of Yorkist pretender Perkin Warbeck, who claimed he was Richard of Shrewsbury, Duke of York."
9182,Where was the mother of Berengaria Of Portugal born?,Dulce of Aragon (or of Barcelona; ; 1160 – 1 September 1198) was Queen consort to King Sancho I of Portugal.
9183,What nationality is Isabella Of Lusignan's father?,"Following John's death, Queen Isabella returned to her native France, where she married Hugh X de Lusignan on 10 May 1220
By Hugh's marriage to Isabella, he became Count of Angoulême until her death in 1246."
9184,"Which film has the director born first, Kashmeeram or When Love Sets The Fashion?","When Love Sets the Fashion (German: Wenn die Liebe Mode macht) is a 1932 German comedy film directed by Franz Wenzler and starring Renate Müller, Hubert von Meyerinck and Georg Alexander."
9185,Who is the paternal grandfather of Nguyễn Phúc Hồng Cai?,"He was the eldest son of Emperor Minh Mạng, and reigned from 14 February 1841 until his death on 4 November 1847."
9186,What is the place of birth of the director of film Sweet November (2001 Film)?,Sweet November is a 2001 romantic drama film based in San Francisco directed by Pat O'Connor and starring Keanu Reeves and Charlize Theron.
9187,Are Bmw M and Mine Safety Appliances both located in the same country?,The corporation's assets are managed through two business segments: MSA North America and MSA International.
9188,Where was the husband of Maria Kaczyńska born?,Lech Aleksander Kaczyński (18 June 194910 April 2010) was a Polish lawyer and politician who served as the Mayor of Warsaw from 2002 until 2005 and as the President of Poland from 2005 until his death in 2010.
9189,"Which film has the director who died earlier, In Case Of Adversity or Bluebeard'S Ten Honeymoons?","William Lee Wilder (August 22, 1904 in Sucha, Galicia, Austria-Hungary – February 14, 1982 in Los Angeles, California) was an Austrian-born American screenwriter, film producer and director."
9190,Which country the performer of song Sweet Leilani is from?,"It won the Academy Award for Best Original Song, and Bing Crosby's record became one of the biggest hits of 1937."
9191,Do director of film Our Man In Havana (Film) and director of film Such A Little Pirate have the same nationality?,"Our Man in Havana is a 1959 British spy comedy film shot in CinemaScope, directed and produced by Carol Reed and starring Alec Guinness, Burl Ives, Maureen O' Hara, Ralph Richardson, Noël Coward and Ernie Kovacs."
9192,What is the place of birth of the director of film The Gentle Art Of Burglary?,"The Gentle Art of Burglary is a 1916 American silent short comedy directed by Raymond L. Schrock and starring William Garwood, Violet Mersereau and Paddy Sullivan."
9193,"Are both airports, Far View Airport and Bellevue Airfield, located in the same country?","Far View Airport is an airport located one nautical mile( 2 km) south of the central business district of Hiram, a village in Portage County, Ohio, United States."
9194,"Which film has the director who was born later, Too Many Wives or The Secret Bride?","William Dieterle( July 15, 1893 – December 9, 1972) was a German- American actor and film director, who emigrated to the United States in 1930 to leave a worsening political situation."
9195,What is the place of birth of the composer of film Il Corpo Dell'Anima?,"Born in Pomigliano d'Arco, after an activity as a film critic, Piscicelli started his film career with some documentary short films shot and set in his hometown."
9196,"When did Joanna Of Aragon, Countess Of Foix's mother die?",Martha of Armagnac (after 18 February 1347 – 23 October 1378) was the youngest child of John I of Armagnac and his second wife Beatrice of Clermont.
9197,"Which film has the director who was born later, The Golden Hawk or Cold Eyes Of Fear?","The Golden Hawk is a 1952 American adventure film, directed by Sidney Salkow and starring Rhonda Fleming and Sterling Hayden, based on the novel of the same name by Frank Yerby."
9198,"Which film came out earlier, La Marca De Satanás or Sofia'S Last Ambulance?","The film premiered at the 51st Semaine de la Critique( International Critics' Week) at the 2012 Cannes Film Festival, where it won the inaugural France 4 Visionary Award( France 4 Prix Revelation)."
9199,"Who is the spouse of the director of film Ride, Vaquero!?",It was directed by John Farrow and produced by Stephen Ames from a screenplay by Frank Fenton and John Farrow.
9200,Where was the performer of song Stranded (Agnes Carlsson Song) born?,"Agnes Emilia Carlsson (born 6 March 1988 in Vänersborg, Sweden), known mononymously as Agnes, is a Swedish recording artist."
9201,Are Tony Shelly and Frank Daniel Gerber from the same country?,"Anthony ""Tony"" Lionel Shelly (2 February 1937 – 4 October 1998) was a racing driver from New Zealand."
9202,Where did the director of film The Great Circus Mystery die?,The Great Circus Mystery is a 1925 American adventure film serial directed by Jay Marchant.
9203,"Who died later, Burhan Atak or Pepe Hern?","José ""Pepe"" Hernández Bethencourt (June 6, 1927 - February 28, 2009), better known as Pepe Hern, was an American supporting actor, who usually played Spanish and Latino (primarily Mexican) roles throughout his career."
9204,"Which film was released more recently, Especialista En Señoras or Dirt Merchant?","Dirt Merchant is an independent comedy film that premiered on SightSound.com on September 19, 1999, and premiered on DVD on June 11, 2002."
9205,"Which film was released first, Snehadeepam or Warriors Of Heaven And Earth?",Warriors of Heaven and Earth is a 2003 Chinese action adventure film directed by He Ping.
9206,Who is Prince Wilhelm Of Prussia (1906–1940)'s maternal grandmother?,Prince Wilhelm of Prussia (Wilhelm Friedrich Franz Joseph Christian Olaf; 4 July 1906 – 26 May 1940) was the eldest child of Crown Prince Wilhelm of Germany and Duchess Cecilie of Mecklenburg-Schwerin.
9207,"Which film was released first, Star Wars: Episode Iii – Revenge Of The Sith or Polleke?",Star Wars: Episode III – Revenge of the Sith is a 2005 American epic space-opera film written and directed by George Lucas.
9208,"Which film was released earlier, Nicky'S Family or Tales Of A Long Journey?",Tales of a Long Journey is a 1963 Hungarian drama film directed by Tamás Rényi.
9209,Are Carnic Alps and Torre Del Gran San Pietro located in the same country?,"Torre del Gran San Pietro  is a mountain in the Gran Paradiso massif, a sub-group of the Graian Alps, with an elevation of 3,692 m. It is located between Piedmont and Aosta Valley, in northern Italy, near the Cogne Valley."
9210,"Which film was released more recently, The Amazing Colossal Man or Palkon Ki Chhaon Mein?","The Amazing Colossal Man( also known as The Colossal Man) is a 1957 American black- and- white science fiction film from American International Pictures, produced and directed by Bert I. Gordon, that stars Glenn Langan, Cathy Downs, William Hudson, and Larry Thor."
9211,Which country Hank Magnuski's father is from?,"Magnuski and his wife, Cynthia Jose, established the ""Henry Magnuski Endowed Professorship"" at the Department of Electrical and Computer Engineering at the University of Illinois in honor of his father, Henryk Magnuski."
9212,What is the place of birth of the director of film Special When Lit?,"Born in Sydney, Australia, 1971, Sullivan formed production company Steam Motion and Sound with Julian Chow in 1996."
9213,"Which film has the director who is older, A Reno Divorce or Hills Of Kentucky?","A Reno Divorce was a 1927 American silent romantic drama film produced and distributed by Warner Bros., Ralph Graves wrote, directed and stars in this film which was the last of the five films he ever directed."
9214,"Which film was released first, An Acceptable Loss or Douro, Faina Fluvial?","Douro, Faina Fluvial( Labor on the Douro River) is a 1931 Portuguese documentary short film."
9215,Who is the paternal grandfather of Catherine Zaccaria?,"Catherine Zaccaria or Catherine Palaiologina (died 26 August 1462) was the daughter of the last Prince of Achaea, Centurione II Zaccaria."
9216,"Which film has the director died first, Song Of The City or The City Of Dim Faces?","Song of the City is a 1937 American musical film directed by Errol Taggart, written by Michael Fessier, and starring Margaret Lindsay, Dean Jagger, J. Carrol Naish, Nat Pendleton, Dennis Morgan and Marla Shelton."
9217,"When did John Annesley, 4Th Earl Of Anglesey's father die?","A younger son of James Annesley, 2nd Earl of Anglesey (1645–1690), by his marriage to Lady Elizabeth Manners, daughter of John Manners, 8th Earl of Rutland, he succeeded to the family estates and Earldom of Anglesey on the death of his brother James in 1701/02."
9218,"Who died later, Haldor Lillenas or Holly Broadbent Sr.?","Haldor Lillenas( 19 November 1885 – 18 August 1959) was"" one of the most important twentieth- century gospel hymn writers and publishers"" and is regarded as"" the most influential Wesleyan/ Holiness songwriter and publisher in the 20th century""."
9219,Who is the maternal grandfather of Princess Pauline Of Saxe-Weimar-Eisenach?,"Princess Augusta of Württemberg (4 October 1826 in Stuttgart – 3 December 1898, ibid.) was a daughter of King William I of Württemberg and his wife, Pauline of Württemberg."
9220,What is the place of birth of David Lee Child's wife?,"Her grandparents' house, which she wrote about visiting, was restored by Tufts University in 1976 and stands near the Mystic River on South Street, in Medford, Massachusetts."
9221,"Where was the place of death of Reginald I, Count Of Burgundy's mother?","Born in 986, he was the son of Otto-William, Count of Burgundy (the first Count) and Ermentrude de Roucy."
9222,Who is the child of the composer of film Carne (1968 Film)?,Carne (English: Meat or Flesh) is a 1968 Argentine sexploitation film written and directed by Armando Bó.
9223,Where did the director of film The Idiot Returns study?,He graduated from the Film and TV School of The Academy of Performing Arts in Prague in 1995.
9224,"Which film has the director born later, Neengal Kettavai or Experiment In Terror?","Balanathan Benjamin Mahendran( 20 May 1939 13 February 2014), commonly known as Balu Mahendra, was a legendary cinematographer, director, screenwriter and film editor who worked predominantly in Tamil cinema."
9225,Where was the director of film Bulletproof Heart (Film) born?,Bulletproof Heart (also known as Killer) is a 1995 independent Canadian-American drama-thriller film directed by Mark Malone.
9226,"Which film whose director was born first, Elite Squad or The Last Dawn?","Mihály Kertész (1905); December 24, 1886 April 11, 1962) was a Hungarian-born American film director, recognized as one of the most prolific directors in history."
9227,"Where did Charles Wellesley, 9Th Duke Of Wellington's father die?","Arthur Charles Valerian Wellesley, 9th Duke of Wellington (born 19 August 1945), styled Earl of Mornington between 1945 and 1972 and Marquess of Douro between 1972 and 2014, is a British aristocrat and politician."
9228,"Which film has the director died later, Chunmiao or Mothers Cry?","Chunmiao is a 1975 Chinese film directed by Xie Jin, Yan Bili and Liang Tingduo, starring Li Xiuming as the titular village girl who became a barefoot doctor through political struggle."
9229,"Which film has the director who died later, The Fair Barbarian or Vortex, The Face Of Medusa?",The Fair Barbarian is a 1917 American comedy silent film directed by Robert Thornby and written by Edith M. Kennedy based upon a novel by Frances Hodgson Burnett.
9230,Where was the director of film Flags And Waves born?,"After obtaining a Bachelor of Mathematics from the University of Waterloo and completing a Ph.D. at the University of Toronto, Reeves was hired by George Lucas as a member of Lucasfilm's Computer Division, Computer Graphics Group."
9231,Who is the paternal grandfather of Taher Saifuddin?,"Syedna Taher Saifuddin bin Syedna Mohammad Burhanuddin (سيدنا طاهر سيف الدين, 4 August 1888 – 12 November 1965) was the 51st Da'i al-Mutlaq of the Dawoodi Bohras, a section within Shia Islam."
9232,What is the place of birth of Nell Arthur's husband?,"Ellen Lewis ""Nell"" Arthur (""née"" Herndon; August 30, 1837 – January 12, 1880) was the wife of the 21st President of the United States, Chester A. Arthur."
9233,Were William G. Gray and Simon May from the same country?,"Eventually taking an Austrian named Emile Napoleon Hauenstein to be his magical teacher, he joined the British Army and served for several years, fighting in the Second World War."
9234,"Which film has the director who died later, Why Sailors Go Wrong or Look Both Ways?","Look Both Ways is a 2005 Australian independent film, written and directed by Sarah Watt, starring an ensemble cast, which was released on 18 August 2005."
9235,Do both films: Black Forest Children and Sometime In August have the directors from the same country?,"Leonhard"" Leo"" Peukert( 26 August 1885 – 6 January 1944) was a prolific German film actor and film director, appearing in more than a hundred and fifty productions between 1910 and his death in 1944."
9236,Are Prikanalny and Vetlyanka both located in the same country?,"Vetlyanka is a rural locality( a selo) in Vetlyansky Selsoviet of Yenotayevsky District, Astrakhan Oblast, Russia."
9237,Who is the father of the director of film 3 (2012 Tamil Film)?,3 is a 2012 Indian Tamil-language romantic psychological thriller film written and directed by Aishwarya R. Dhanush in her directorial debut.
9238,Where was the father of Sigurd Wallin born?,"David August Wallin (7 January 1876 in Östra Husby parish in Östergötland County, Sweden – 27 June 1957 in Stockholm, Sweden) was a Swedish artist."
9239,Where did the director of film Turn It Up (Film) study?,"Turn It Up is a 2000 action hood film directed by Robert Adetuyi and starring Ja Rule, Pras, Faith Evans and Jason Statham."
9240,"Which film was released first, 99 And 44/100% Dead or Forbidden Music?","For the song of the same name see Stanislao Gastaldon"" Forbidden Music( Italian: Musica proibita) is a 1942 Italian drama film directed by Carlo Campogalliani and starring Tito Gobbi, María Mercader and Giuseppe Rinaldi."
9241,Where did the director of film First Orbit graduate from?,"By matching the orbit of the International Space Station to that of Vostok 1 as closely as possible, in terms of ground track and time of day, documentary filmmaker Christopher Riley and European Space Agency astronaut Paolo Nespoli were able to film the view that Yuri Gagarin saw on his pioneering orbital space flight."
9242,What is the place of birth of the director of film Forgotten Light?,"Vladimír Michálek (born November 2, 1956 in Mladá Boleslav) is a Czech film director and screenwriter."
9243,"Which film has the director who was born later, And Then There Were None (1945 Film) or Langue Sacrée, Langue Parlée?","Langue sacrée, langue parlée( tr. Leshon Kodesh Sfat Chol, literally"" Sacred Tongue, Profane Language"") is a 2008 French independent underground experimental documentary art film directed by Nurith Aviv."
9244,Where was the place of death of the director of film Fanfare Of Love?,"Fanfare of Love (French: Fanfare d'amour) is a 1935 French comedy film directed by Richard Pottier and starring Fernand Gravey, Betty Stockfeld and Julien Carette."
9245,What is the place of birth of the director of film Barricade (2012 Film)?,"Born in England, Currie grew up in Victoria, British Columbia and studied arts before turning his interests towards film."
9246,"Which film was released first, Gang War In Naples or Robot Jox?","Robot Jox is a 1990 American post-apocalyptic science- fiction film directed by Stuart Gordon and starring Gary Graham, Anne- Marie Johnson and Paul Koslo."
9247,Where was the place of death of the founder of Bloomberg Industry Group?,"David Lawrence (December 25, 1888 in Philadelphia, Pennsylvania – February 11, 1973 in Sarasota, Florida) was a conservative newspaperman."
9248,"Which film whose director was born first, Shadow Of The Earth or Wolves Of The Range?","Sam Newfield, born Samuel Neufeld,( December 6, 1899- November 10, 1964), also known as Sherman Scott or Peter Stewart, was an American B-movie director, one of the most prolific in American film history —he is credited with directing over 250 feature films in a career which began during the silent era and ended in 1958."
9249,Do both directors of films Mr. And Mrs. Iyer and Ponnu Veetukkaran have the same nationality?,"Aparna Sen("" Ôporna Shen""; born 25 October 1945) is an Indian filmmaker, screenwriter and actress who is known for her work in Bengali cinema."
9250,Are Shanghai Normal University and Chaohu University located in the same country?,"Chaohu University( Chinese: 巢湖学院), in Chaohu, Anhui Province of China, is an institution of higher learning under jurisdiction of Anhui Province."
9251,Where was the director of film Rfk Must Die born?,RFK Must Die: The Assassination of Bobby Kennedy is an investigative documentary by Irish writer and filmmaker Shane O'Sullivan released in 2007.
9252,Which country Amalia Of Solms-Braunfels's husband is from?,"Frederick Henry (29 January 1584 – 14 March 1647) was the sovereign prince of Orange and stadtholder of Holland, Zeeland, Utrecht, Guelders, Overijssel in the Dutch Republic from 1625 until his death in 1647."
9253,Where was the director of film Noose (1958 Film) born?,"Wojciech Jerzy Has (1 April 1925, Kraków – 3 October 2000, Łódź) was a Polish film director, screenwriter and film producer."
9254,"Who died later, Madan Mohan Mishra or George Forty?","George Forty( 10 September 1927 – 19 May 2016) was a British Army officer who was chief of staff of the Royal Armoured Corps gunnery school and later director of the Tank Museum, and also author of many books on warfare."
9255,"Which film has the director born later, Army Surgeon or Ikaw Ang Pag-Ibig?",You Are Love) is a 2011 religious family-drama film written and directed by Marilou Diaz-Abaya and released by Star Cinema with the Archdiocese of Caceres and Marilou Diaz-Abaya Film Institute and Arts Center.
9256,Where was the place of death of the performer of song I'Ll Come Running Back To You?,"""I'll Come Running Back to You"" is a written and recorded by American singer-songwriter Sam Cooke, released November 18, 1957 by Specialty Records."
9257,Where was the director of film Beauty And The Beast (1983 Film) born?,"Malmros is noted for his detailed focus on the common growing pains of adolescence and the loss of innocence, which he draws from his childhood experiences growing up in Århus, Denmark."
9258,"Which film has more directors, Flesh For Frankenstein or The End Is My Beginning?","In the United States, the film was marketed as"" Andy Warhol's Frankenstein"" though only the title"" Frankenstein"" appeared on the print itself, and was presented in the Space- Vision 3D process in premiere engagements."
9259,"Which film has the director who is older, Somewhere I'Ll Find You or A Dream Of Happiness?","A Dream of Happiness( German: Ein Traum vom Glück) is a 1924 German silent film directed by Paul L. Stein and starring Harry Liedtke, Ferdinand von Alten and Uschi Elleot."
9260,Are Night In December and Roar Of The Dragon from the same country?,"Night in December( French: Nuit de décembre) is a 1940 drama film directed by Curtis Bernhardt and starring Pierre Blanchar, Renée Saint- Cyr and Gilbert Gil."
9261,Which country Haya Bint Hussein's husband is from?,"Sheikh Mohammed bin Rashid Al Maktoum (born 15 July 1949) is the Vice President and Prime Minister of the United Arab Emirates (UAE), and ruler of the Emirate of Dubai."
9262,Where was the director of film Hellcats Of The Navy born?,"Hellcats of the Navy is a 1957 black-and-white World War II submarine film drama from Columbia Pictures, produced by Charles H. Schneer and directed by Nathan Juran."
9263,Who is the spouse of the director of film Bangla Bachao?,"Bangla Bachao is a Bengali movie directed by Anup Sengupta, starring Prosenjit Chatterjee and Paoli Dam."
9264,"Which film has the director who is older than the other, Circus Ramudu or My Left Foot? ","My Left Foot: The Story of Christy Brown, also known simply as My Left Foot, is a 1989 Irish- British biographical comedy- drama film co-written and directed by Jim Sheridan and starring Daniel Day- Lewis, Brenda Fricker, Ray McAnally, Hugh O'Conor and Fiona Shaw."
9265,What is the place of birth of the director of film Love Between The Raindrops?,Love Between the Raindrops  is a 1979 Czech comedy film directed by Karel Kachyňa.
9266,"Which film has the director born later, Fængslende Feriedage or Ritzy?","Ritzy is a lost 1927 American comedy silent film directed by Richard Rosson and written by Elinor Glyn, Percy Heath, Robert N. Lee and George Marion, Jr.."
9267,Where was the director of film Killroy Was Here born?,"Smith is the owner of Jay and Silent Bob's Secret Stash, a comic book store in Red Bank, New Jersey that is the subject of the reality television show ""Comic Book Men"" (2012–2018)."
9268,"Which film has the director who died later, John Heriot'S Wife or The Marriage Of Kitty?","George H. Melford( born George Henry Knauff, February 19, 1877 – April 25, 1961) was an American stage and film actor, director, producer, and screenwriter."
9269,"What nationality is the performer of song Papa, Can You Hear Me??","""Papa, Can You Hear Me?"" is a 1983 song composed by Michel Legrand with lyrics by Alan Bergman and Marilyn Bergman, for Barbra Streisand in the title role of ""Yentl""."
9270,What is the date of birth of the director of film Espoir: Sierra De Teruel?,"Sierra de Teruel (English title: ""Days of Hope"" or ""Man's Hope"") is a 1938-39 Spanish-French black and white war film, directed by Boris Peskine and André Malraux."
9271,What nationality is the director of film Abeti Masikini: Le Combat D'Une Femme?,"Ne Kunda Nlaba (born 1982 in Kinshasa in Democratic Republic of the Congo) is a Congolese Film Producer, Director, Screenwriter, Actor, and Political scientist."
9272,What is the place of birth of the performer of song Choctaw Bingo?,"James McMurtry (born March 18, 1962 in Fort Worth, Texas) is an American rock and folk rock/americana singer, songwriter, guitarist, bandleader, and occasional actor (""Daisy MillerLonesome Dove"", and narrator of ""Ghost Town:"
9273,"Who was born later, Burhan Atak or Pepe Hern?","José ""Pepe"" Hernández Bethencourt (June 6, 1927 - February 28, 2009), better known as Pepe Hern, was an American supporting actor, who usually played Spanish and Latino (primarily Mexican) roles throughout his career."
9274,"Who is Joseph Pease, 3Rd Baron Gainford's paternal grandmother?","He was the only son of the Liberal peer Joseph Albert Pease, 1st Baron Gainford and his wife Ethel Havelock-Allan, a daughter of Sir Henry Marshman Havelock-Allan, Bt.."
9275,Where was the place of death of Countess Anna Of Nassau's husband?,"William Louis of Nassau-Dillenburg (13 March 1560, Dillenburg, Hesse – 13 July 1620, Leeuwarden, Netherlands) was Count of Nassau-Dillenburg from 1606 to 1620, and stadtholder of Friesland, Groningen, and Drenthe."
9276,"Which film has the director born first, Ekti Raat or Le Périscope?","Ekti Raat("" English: One Night"") is a 1956 Indian Bengali- language comedy film directed by Chitta Basu and produced by Harendranath Chattopadhyay based on,"" Bhimpalashree"", a story of Bengali novelist Balai Chand Mukhopadhyay."
9277,Where was the director of film Duke'S Son born?,"Duke's Son is a 1920 British silent drama film directed by Franklin Dyall and starring Guy Newall, Ivy Duke and Hugh Buckler."
9278,"Which country the director of film Smell Of Camphor, Scent Of Jasmine is from?","Bahman Farmanara (also Romanized as Bahman Farmānārā; born 23 January 1942 in Isfahan) is an Iranian film director, screenwriter, and film producer."
9279,"Did the bands The Medic Droid and The Womenfolk, originate from the same country?","The Womenfolk were an American folk band from Los Angeles, California."
9280,What nationality is the director of film 11 Harrowhouse?,"11 Harrowhouse is a 1974 British DeLuxe Color film directed by Aram Avakian and starring Charles Grodin, Candice Bergen, James Mason, Trevor Howard and John Gielgud in Panavision."
9281,What nationality is the performer of song Delilah (Tom Jones Song)?,"Jones has sold over 100 million records, with 36 Top 40 hits in the United Kingdom and 19 in the United States, including ""It's Not UnusualWhat's New Pussycat"","
9282,Do both directors of films The Loss Of The Birkenhead and A Will And A Way share the same nationality?,"Horace Manning Haynes( born: Lyminster, Sussex – died 3 March 1957, Epsom, England)( often credited as H. Manning Haynes) was a British- born film director and actor."
9283,Who is the maternal grandfather of Prince Christian Of Hesse?,"As a son of the Danish Field Marshal Prince Charles of Hesse-Kassel and Princess Louise of Denmark, he was a member of the extended Danish Royal Family and spent his entire life in Denmark."
9284,"Who is the paternal grandfather of Rotrou Iv, Count Of Perche?","Rotrou IV (1135-1191), Count of Perche, son of Rotrou III, Count of Perche, and Hawise, daughter of Walter of Salisbury, and Sibilla de Chaworth."
9285,"Who was born first, Gaetano De Rosa or Maja Odžaklievska?","Maja Odžaklievska( Macedonian and; born April 21, 1954 in Skopje), is a Macedonian and Serbian singer and songwriter popular across Europe."
9286,"Which film has the director who was born first, Wings Over The Pacific or Enticement?","Wings Over the Pacific is a 60-minute 1943 drama film, directed by Phil Rosen and starring Inez Cooper, Edward Norris and Montagu Love."
9287,"Which film has the director who died earlier, Te Lo Leggo Negli Occhi or Bulldog Jack?","Bulldog Jack( released as Alias Bulldog Drummond in the USA) is a 1935 British film produced by Gaumont British, directed by Walter Forde, and starring Jack Hulbert, Fay Wray, Ralph Richardson and Atholl Fleming."
9288,Where was the director of film The Great Mystical Circus (Film) born?,"The Great Mystical Circus (""O Grande Circo Místico"") is a 2018 Brazilian romantic drama film directed and written by Cacá Diegues, his first film in 12 years."
9289,"Do the bands Codeine (Band) and Opafire, originate from the same country?","Opafire headlined many music festivals, theaters, and clubs, such as the Oxfam International Festival Tour, the Whole Life Expo Tour, the Stern Grove Festival, the Great American Music Hall and Yoshi's Night Club in San Francisco and Oakland California, The Baked Potato in Los Angeles, as well as large"" Listener Appreciation Concert"" performances for various radio stations."
9290,Who is the paternal grandmother of Jacob Zorzi?,"Jacob was the eldest son of Francis Zorzi, of Venetian origin, and Euphrosyne Sommaripa, of the Cyclades."
9291,"Which film has the director who was born earlier, The Devil'S Chaplain or The Liar (1961 Film)?","Ladislao Vajda( born Weisz László; 18 August 1906, Budapest – 25 March 1965, Barcelona) was a Hungarian film director who made films in Spain, Portugal, the United Kingdom, Italy and Germany."
9292,"Who was born first, Johann Michael Von Loën or Mattie Suver?","Johann Michael von Loën( 11 December 1694 in Frankfurt am Main- 24 July 1776 in Lingen, Ems) was a German writer and statesman."
9293,"Which film has the director who was born earlier, Legend Of The Inca Bridge or Gangs Of New York?","José A( gustín) Ferreyra( 28 August 1889 – 29 January 1943), popularly known as"" Negro Ferreyra""( Black Ferreyra, due to his mulato ethnicity), was an early Argentine film director, screenwriter and film producer."
9294,"Who was born first, Marcos Antônio De Araújo, 2Nd Baron Of Itajubá or Mamadou Tangara?","Mamadou Tangara( born 4 June 1965) is a Gambian diplomat and politician who has served as Minister of Foreign Affairs since 2018, having previously served in 2012 and from 2010 – 2012."
9295,Where did the director of film Something To Hide die?,"Alastair Reid (born 21 July 1939 in Edinburgh — died 17 August 2011 in Stoke St Gregory, Somerset) was a British television director whose credits include the TV series ""Selling Hitler (1991 miniseries)"" based on a true story of the biggest fraud in publishing history - the Hitler diaries, and ""Traffik"" and ""Tales of the City"" and ""Shout at the Devil""."
9296,What is the date of death of Patricia Thompson (Writer)'s father?,"She was one of the two known children of the poet Vladimir Mayakovsky, the other being Gleb-Nikita Lavinsky (1921–1986)."
9297,When was Ludwig Gruno Of Hesse-Homburg's father born?,"He was the eldest surviving son of Frederick III, Landgrave of Hesse-Homburg and his wife Elisabeth Dorothea of Hesse-Darmstadt, daughter of Louis VI, Landgrave of Hesse-Darmstadt."
